,Race_Name,Race_Id,Track_Name,Race_Date_Plain,Current_Winner_Name,Playoff_Round,Actual_Laps,Track_Id,RaceID_Text,Exhibition
0,NASCAR Cup Series Championship,5309,Phoenix Raceway,2023-11-05,,4,312,84,Phoenix Raceway - NASCAR Cup Series Championship,No
1,Xfinity 500,5308,Martinsville Speedway,2023-10-29,,8,500,22,Martinsville Speedway - Xfinity 500,No
2,NASCAR Cup Series Race at Homestead Miami,5307,Homestead-Miami Speedway,2023-10-22,,8,267,40,Homestead-Miami Speedway - NASCAR Cup Series Race at Homestead Miami,No
3,South Point 400,5306,Las Vegas Motor Speedway,2023-10-15,,8,267,42,Las Vegas Motor Speedway - South Point 400,No
4,Bank of America ROVAL 400,5305,Charlotte Motor Speedway Road Course,2023-10-08,,12,109,210,Charlotte Motor Speedway Road Course - Bank of America ROVAL 400,No
5,YellaWood 500,5304,Talladega Superspeedway,2023-10-01,,12,188,82,Talladega Superspeedway - YellaWood 500,No
6,AutoTrader EchoPark Automotive 400,5303,Texas Motor Speedway,2023-09-24,,12,267,43,Texas Motor Speedway - AutoTrader EchoPark Automotive 400,No
7,Bass Pro Shops Night Race,5302,Bristol Motor Speedway,2023-09-16,,16,500,14,Bristol Motor Speedway - Bass Pro Shops Night Race,No
8,Hollywood Casino 400 Presented by Barstool Sportsbook,5301,Kansas Speedway,2023-09-10,,16,267,41,Kansas Speedway - Hollywood Casino 400 Presented by Barstool Sportsbook,No
9,Cook Out Southern 500,5300,Darlington Raceway,2023-09-03,,16,367,4,Darlington Raceway - Cook Out Southern 500,No
10,Coke Zero Sugar 400,5299,Daytona International Speedway,2023-08-26,,,160,105,Daytona International Speedway - Coke Zero Sugar 400,No
11,Go Bowling at The Glen,5298,Watkins Glen International,2023-08-20,William Byron,,90,157,Watkins Glen International - Go Bowling at The Glen,No
12,Verizon 200 at the Brickyard,5295,Indianapolis Motor Speedway Road Course,2023-08-13,Michael McDowell,,82,211,Indianapolis Motor Speedway Road Course - Verizon 200 at the Brickyard,No
13,FireKeepers Casino 400,5296,Michigan International Speedway,2023-08-07,Chris Buescher,,200,133,Michigan International Speedway - FireKeepers Casino 400,No
14,Cook Out 400,5297,Richmond Raceway,2023-07-30,Chris Buescher,,400,26,Richmond Raceway - Cook Out 400,No
15,HighPoint.com 400,5294,Pocono Raceway,2023-07-23,Denny Hamlin,,160,198,Pocono Raceway - HighPoint.com 400,No
16,Crayon 301,5293,New Hampshire Motor Speedway,2023-07-17,Martin Truex Jr.,,301,138,New Hampshire Motor Speedway - Crayon 301,No
17,Quaker State 400 available at Walmart,5292,Atlanta Motor Speedway,2023-07-09,William Byron,,185,111,Atlanta Motor Speedway - Quaker State 400 available at Walmart,No
18,Grant Park 220,5291,Chicago Street Race,2023-07-02,,,78,218,Chicago Street Race - Grant Park 220,No
19,Ally 400,5290,Nashville Superspeedway,2023-06-25,Ross Chastain,,300,52,Nashville Superspeedway - Ally 400,No
20,Toyota / Save Mart 350,5289,Sonoma Raceway,2023-06-11,Martin Truex Jr.,,110,99,Sonoma Raceway - Toyota / Save Mart 350,No
